occurrence_count	color_value	files
2	rgba(37, 169, 191, 0.12)	frontend/styles/ai-studio-layout.css, frontend/styles/ai-studio-controls.css
2	rgba(37, 169, 191, 0.16)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-history.css
2	rgba(37, 169, 191, 0.95)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-canvas.css
2	rgba(4, 7, 12, 0.85)	frontend/styles/ai-studio-modals.css
2	rgba(40, 44, 52, 0.97)	frontend/styles/ai-studio-model-picker.css
2	rgba(5, 175, 84, 0.813)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
2	rgba(52, 200, 255, 0.18)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-modals.css
2	rgba(52, 200, 255, 0.3)	frontend/styles/ai-studio-modals.css
2	rgba(52, 200, 255, 0.4)	frontend/styles/ai-studio-modals.css
2	rgba(52, 201, 255, 0.3)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-prompts.css
2	rgba(6, 182, 212, 0.15)	frontend/styles/ai-studio-layout.css
2	rgba(6, 182, 212, 0.3)	frontend/styles/ai-studio-layout.css
2	rgba(76, 225, 255, 0.08)	frontend/styles/ai-studio-history.css, frontend/styles/ai-studio-canvas.css
2	rgba(80, 186, 255, 0.5)	frontend/styles/ai-studio-canvas.css
1	#00d9ff	frontend/styles/ai-studio-model-picker.css
1	#071a18	frontend/styles/ai-studio-controls.css
1	#07ab76	frontend/styles/ai-studio-layout.css
1	#101215	frontend/styles/ai-studio-reference-properties.css
1	#10cced	frontend/styles/ai-studio-layout.css
1	#128177	frontend/styles/ai-studio-layout.css
1	#16181b	frontend/styles/ai-studio-reference-properties.css
1	#17679ce2	frontend/styles/ai-studio-prompts.css
1	#24b1c7d2	frontend/styles/ai-studio-prompts.css
1	#25a8bf	frontend/styles/ai-studio-prompt-actions.css
1	#25a8bf1e	frontend/styles/ai-studio-model-picker.css
1	#25a8bf8a	frontend/styles/ai-studio-prompt-actions.css
1	#28dbf6	frontend/styles/ai-studio-layout.css
1	#2c6cf5	frontend/styles/ai-studio-layout.css
1	#2ec0ff21	frontend/styles/ai-studio-prompt-actions.css
1	#34c8ff	frontend/styles/ai-studio-modals.css
1	#373c4a	frontend/styles/ai-studio-canvas.css
1	#3d2fa8	frontend/styles/ai-studio-layout.css
1	#4135ab	frontend/styles/ai-studio-layout.css
1	#433aa9	frontend/styles/ai-studio-layout.css
1	#4c5159	frontend/styles/ai-studio-canvas.css
1	#50e6b0	frontend/styles/ai-studio-layout.css
1	#555b63	frontend/styles/ai-studio-layout.css
1	#5a616510	frontend/styles/ai-studio-model-picker.css
1	#5a61652c	frontend/styles/ai-studio-model-picker.css
1	#639e98	frontend/styles/ai-studio-prompt-actions.css
1	#639e98c0	frontend/styles/ai-studio-prompt-actions.css
1	#639e9d	frontend/styles/ai-studio-prompt-actions.css
1	#639e9d05	frontend/styles/ai-studio-prompt-actions.css
1	#666c74	frontend/styles/ai-studio-layout.css
1	#6ed6e9	frontend/styles/ai-studio-layout.css
1	#7c828a	frontend/styles/ai-studio-layout.css
1	#8c95a390	frontend/styles/ai-studio-layout.css
1	#992ac9	frontend/styles/ai-studio-layout.css
1	#9de5ff	frontend/styles/ai-studio-controls.css
1	#a78bf7	frontend/styles/ai-studio-layout.css
1	#aa65ef	frontend/styles/ai-studio-layout.css
1	#b1b6be	frontend/styles/ai-studio-controls.css
1	#c9ced6	frontend/styles/ai-studio-coming-soon.css
1	#cfd6df	frontend/styles/ai-studio-coming-soon.css
1	#cfe4ff	frontend/styles/ai-studio-history.css
1	#d9dee7	frontend/styles/ai-studio-controls.css
1	#e2ecff	frontend/styles/ai-studio-controls.css
1	#e5f6ff	frontend/styles/ai-studio-reference-properties.css
1	#e7f4ff	frontend/styles/ai-studio-model-picker.css
1	#e7f6ff	frontend/styles/ai-studio-canvas.css
1	#e7f8ff	frontend/styles/ai-studio-layout.css
1	#e9f7ff	frontend/styles/ai-studio-modals.css
1	#f15454	frontend/styles/ai-studio-layout.css
1	#f2f5f9	frontend/styles/ai-studio-coming-soon.css
1	#f8fcff	frontend/styles/ai-studio-layout.css
1	#ff9090	frontend/styles/ai-studio-modals.css
1	#ff9b9b	frontend/styles/ai-studio-history.css
1	#ffb300	frontend/styles/ai-studio-layout.css
1	#ffc7c7	frontend/styles/ai-studio-layout.css
1	#ffd9a1	frontend/styles/ai-studio-layout.css
1	#fff4f4	frontend/styles/ai-studio-canvas.css
1	rgb(0, 171, 201)	frontend/styles/ai-studio-canvas.css
1	rgb(0, 217, 255)	frontend/styles/ai-studio-canvas.css
1	rgb(0, 255, 247)	frontend/styles/ai-studio-canvas.css
1	rgb(14, 16, 19)	frontend/styles/ai-studio-layout.css
1	rgb(37, 168, 191)	frontend/styles/ai-studio-canvas.css
1	rgb(52, 201, 255)	frontend/styles/ai-studio-canvas.css
1	rgba(0, 0, 0, 0.072)	frontend/styles/ai-studio-prompt-actions.css
1	rgba(0, 0, 0, 0.138)	frontend/styles/ai-studio-prompt-actions.css
1	rgba(0, 0, 0, 0.15)	frontend/styles/ai-studio-layout.css
1	rgba(0, 0, 0, 0.292)	frontend/styles/ai-studio-model-picker.css
1	rgba(0, 0, 0, 0.5)	frontend/styles/ai-studio-modals.css
1	rgba(0, 204, 255, 0.281)	frontend/styles/ai-studio-model-picker.css
1	rgba(0, 213, 255, 0.262)	frontend/styles/ai-studio-model-picker.css
1	rgba(0, 214, 255, 0.14)	frontend/styles/ai-studio-model-picker.css
1	rgba(0, 214, 255, 0.16)	frontend/styles/ai-studio-model-picker.css
1	rgba(0, 214, 255, 0.26)	frontend/styles/ai-studio-model-picker.css
1	rgba(0, 214, 255, 0.28)	frontend/styles/ai-studio-model-picker.css
1	rgba(0, 214, 255, 0.4)	frontend/styles/ai-studio-model-picker.css
1	rgba(0, 214, 255, 0.8)	frontend/styles/ai-studio-model-picker.css
1	rgba(0, 255, 251, 0.317)	frontend/styles/ai-studio-canvas.css
1	rgba(10, 14, 18, 0.86)	frontend/styles/ai-studio-canvas.css
1	rgba(10, 20, 14, 0.7)	frontend/styles/ai-studio-modals.css
1	rgba(11, 14, 21, 0.9)	frontend/styles/ai-studio-properties.css
1	rgba(110, 231, 183, 0.16)	frontend/styles/ai-studio-canvas.css
1	rgba(110, 231, 183, 0.2)	frontend/styles/ai-studio-modals.css
1	rgba(110, 231, 183, 0.75)	frontend/styles/ai-studio-canvas.css
1	rgba(12, 15, 22, 0.45)	frontend/styles/ai-studio-canvas.css
1	rgba(12, 15, 22, 0.5)	frontend/styles/ai-studio-modals.css
1	rgba(12, 15, 22, 0.95)	frontend/styles/ai-studio-properties.css
1	rgba(12, 15, 22, 0.96)	frontend/styles/ai-studio-controls.css
1	rgba(12, 18, 26, 0.2)	frontend/styles/ai-studio-canvas.css
1	rgba(120, 132, 150, 0.55)	frontend/styles/ai-studio-prompt-actions.css
1	rgba(137, 156, 178, 0.24)	frontend/styles/ai-studio-modals.css
1	rgba(14, 16, 20, 0.85)	frontend/styles/ai-studio-coming-soon.css
1	rgba(14, 16, 24, 0.95)	frontend/styles/ai-studio-canvas.css
1	rgba(14, 17, 22, 0.3)	frontend/styles/ai-studio-modals.css
1	rgba(15, 18, 25, 0.4)	frontend/styles/ai-studio-modals.css
1	rgba(153, 20, 242, 0.178)	frontend/styles/ai-studio-layout.css
1	rgba(155, 155, 155, 0.545)	frontend/styles/ai-studio-reference-properties.css
1	rgba(16, 19, 28, 0.8)	frontend/styles/ai-studio-layout.css
1	rgba(16, 19, 28, 0.9)	frontend/styles/ai-studio-layout.css
1	rgba(16, 19, 28, 0.95)	frontend/styles/ai-studio-layout.css
1	rgba(16, 19, 28, 0.98)	frontend/styles/ai-studio-layout.css
1	rgba(16, 20, 28, 0.92)	frontend/styles/ai-studio-modals.css
1	rgba(16, 20, 28, 0.96)	frontend/styles/ai-studio-modals.css
1	rgba(160, 170, 182, 0.45)	frontend/styles/ai-studio-reference-properties.css
1	rgba(166, 63, 230, 0.35)	frontend/styles/ai-studio-layout.css
1	rgba(17, 20, 27, 0.9)	frontend/styles/ai-studio-canvas.css
1	rgba(17, 20, 27, 0.92)	frontend/styles/ai-studio-reference-properties.css
1	rgba(17, 20, 27, 0.95)	frontend/styles/ai-studio-canvas.css
1	rgba(177, 182, 190, 0.72)	frontend/styles/ai-studio-controls.css
1	rgba(18, 21, 29, 0.8)	frontend/styles/ai-studio-history.css
1	rgba(18, 22, 30, 0.3)	frontend/styles/ai-studio-modals.css
1	rgba(18, 22, 30, 0.7)	frontend/styles/ai-studio-modals.css
1	rgba(18, 22, 30, 0.95)	frontend/styles/ai-studio-modals.css
1	rgba(18, 22, 32, 0.9)	frontend/styles/ai-studio-canvas.css
1	rgba(18, 68, 93, 0.929)	frontend/styles/ai-studio-controls.css
1	rgba(184, 202, 220, 0.35)	frontend/styles/ai-studio-reference-properties.css
1	rgba(184, 202, 220, 0.4)	frontend/styles/ai-studio-canvas.css
1	rgba(201, 205, 214, 0.06)	frontend/styles/ai-studio-canvas.css
1	rgba(201, 205, 214, 0.22)	frontend/styles/ai-studio-controls.css
1	rgba(201, 205, 214, 0.28)	frontend/styles/ai-studio-reference-properties.css
1	rgba(201, 205, 214, 0.42)	frontend/styles/ai-studio-canvas.css
1	rgba(201, 205, 214, 0.75)	frontend/styles/ai-studio-layout.css
